Rank,School,City,Score,Address
1,Carnegie Mellon University ,"Pittsburgh, PA",5,"Pittsburgh, PA"
1,Massachusetts Institute of Technology ,"Cambridge, MA",5,"Campus of the Massachusetts Institute of Technology, Cambridge, MA 02142, USA"
1,Stanford University ,"Stanford, CA",5,"Stanford Dish Hiking Trail, Stanford, CA 94305, USA"
1,University of California-Berkeley ,"Berkeley, CA",5,"Berkeley Way, Berkeley, CA, USA"
5,University of Illinois-Urbana-Champaign ,"Urbana, IL",4.6,"University of Illinois Arboretum, 2001 S Lincoln Ave, Urbana, IL 61802, USA"
6,Cornell University ,"Ithaca, NY",4.5,"Cornell St, Ithaca, NY 14850, USA"
6,University of Washington ,"Seattle, WA",4.5,"University of Washington Plaza, Seattle, WA 98105, USA"
8,Princeton University ,"Princeton, NJ",4.4,"Princeton University, Princeton, NJ, USA"
9,Georgia Institute of Technology ,"Atlanta, GA",4.3,"Georgia Tech, Atlanta, GA, USA"
9,University of Texas-Austin ,"Austin, TX",4.3,"University OF Texas, Austin, TX 78712, USA"
11,California Institute of Technology ,"Pasadena, CA",4.2,"Pasadena, CA"
11,University of Wisconsin-Madison ,"Madison, WI",4.2,"Madison St, Madison, WI 53711, USA"
13,University of California-Los Angeles ,"Los Angeles, CA",4.1,"S Los Angeles St, Los Angeles, CA, USA"
13,University of Michigan-Ann Arbor ,"Ann Arbor, MI",4.1,"University of Michigan, Ann Arbor, MI, USA"
15,Columbia University ,"New York, NY",4,"Schapiro Center, New York, NY 10027, USA"
15,University of California-San Diego ,"La Jolla, CA",4,"La Jolla Pkwy, San Diego, CA, USA"
15,University of Maryland-College Park ,"College Park, MD",4,Glenn L
18,Harvard University ,"Cambridge, MA",3.9,"Agassiz, Cambridge, MA, USA"
19,University of Pennsylvania ,"Philadelphia, PA",3.8,"Pennsylvania Ave, Philadelphia, PA 19130, USA"
20,Brown University ,"Providence, RI",3.7,Brown University
20,Purdue University-West Lafayette ,"West Lafayette, IN",3.7,"Purdue University Airport, 1501 Aviation Dr, Lafayette, IN 47907, USA"
20,Rice University ,"Houston, TX",3.7,"Will Rice College, Houston, TX 77005, USA"
20,University of Southern California ,"Los Angeles, CA",3.7,Southern California Earthquake Center 
